,day,drop,file_name,fps,frames,height,plate,tracked,width
367,19,,pl7_day19.mov,7.987,1040,576,07,No,784
368,19,,pl8_day19.mov,7.987,985,576,08,No,784
369,19,,pl9_day19.mov,7.987,994,576,09,No,784
370,21,,pl26_day21.mov,7.987,994,576,26,No,784
371,21,,pl27_day21.mov,7.987,985,576,27,No,784
372,21,,pl28_day21.mov,7.987,992,576,28,No,784
373,21,,pl29_day21.mov,7.987,992,576,29,No,784
374,21,,pl30_day21.mov,7.987,987,576,30,No,784
375,21,,pl31_day21.mov,7.987,992,576,31,No,784
376,21,,pl32_day21.mov,7.987,995,576,32,No,784
377,21,,pl33_day21.mov,7.987,986,576,33,No,784
378,21,,pl34_day21.mov,7.987,991,576,34,No,784
379,21,,pl35_day21.mov,7.987,992,576,35,No,784
380,21,,pl36_day21.mov,7.987,993,576,36,No,784
381,21,,pl37_day21.mov,7.987,987,576,37,No,784
382,21,,pl38_day21.mov,7.987,985,576,38,No,784
383,21,,pl39_day21.mov,7.987,989,576,39,No,784
384,21,,pl40_day21.mov,7.987,994,576,40,No,784
385,21,,pl41_day21.mov,7.987,993,576,41,No,784
386,21,,pl42_day21.mov,7.987,990,576,42,No,784
387,21,,pl43_day21.mov,7.987,993,576,43,No,784
388,21,,pl44_day21.mov,7.987,989,576,44,No,784
389,21,,pl45_day21.mov,7.987,988,576,45,No,784
390,21,,pl46_day21.mov,7.987,993,576,46,No,784
391,21,,pl47_day21.mov,7.987,987,576,47,No,784
392,21,,pl48_day21.mov,7.987,986,576,48,No,784
393,21,,pl49_day21.mov,7.987,989,576,49,No,784
394,21,,pl50_day21.mov,7.987,988,576,50,No,784
395,21,,pl51_day21.mov,7.987,991,576,51,No,784
396,21,,pl52_day21.mov,7.987,991,576,52,No,784
397,21,,pl53_day21.mov,7.987,993,576,53,No,784
398,21,,pl54_day21.mov,7.987,985,576,54,No,784
399,21,,pl55_day21.mov,7.987,984,576,55,No,784
400,21,,pl56_day21.mov,7.987,986,576,56,No,784
401,21,,pl57_day21.mov,7.987,987,576,57,No,784
402,21,,pl58_day21.mov,7.987,987,576,58,No,784
403,21,,pl59_day21.mov,7.987,986,576,59,No,784
404,21,,pl60_day21.mov,7.987,986,576,60,No,784
405,21,,pl61_day21.mov,7.987,985,576,61,No,784
406,21,,pl62_day21.mov,7.987,988,576,62,No,784
407,21,,pl63_day21.mov,7.987,987,576,63,No,784
408,21,,pl64_day21.mov,7.987,984,576,64,No,784
409,21,,pl65_day21.mov,7.987,986,576,65,No,784
410,21,,pl66_day21.mov,7.987,988,576,66,No,784
411,21,,pl67_day21.mov,7.987,986,576,67,No,784
412,21,,pl68_day21.mov,7.987,987,576,68,No,784
413,21,,pl69_day21.mov,7.987,988,576,69,No,784
