index,day,drop,drop_img_sim,file_name,fps,frames,height,plate,tracked,width
361,19,501,0.670464978,pl6_day19.mov,7.987,998,576,6,No,784
362,19,485,0.832904702,pl70_day19.mov,7.987,984,576,70,No,784
363,19,488,0.674926846,pl71_day19.mov,7.987,995,576,71,No,784
364,19,490,0.582705875,pl72_day19.mov,7.987,992,576,72,No,784
365,19,489,0.685978471,pl73_day19.mov,7.987,993,576,73,No,784
366,19,489,0.550304091,pl74_day19.mov,7.987,994,576,74,No,784
367,19,519,0.520486713,pl7_day19.mov,7.987,1040,576,7,No,784
368,19,484,0.58026951,pl8_day19.mov,7.987,985,576,8,No,784
369,19,487,0.53877274,pl9_day19.mov,7.987,994,576,9,No,784
370,21,488,0.612979062,pl26_day21.mov,7.987,994,576,26,No,784
371,21,490,0.595109685,pl27_day21.mov,7.987,985,576,27,No,784
372,21,489,0.595048967,pl28_day21.mov,7.987,992,576,28,No,784
373,21,489,0.621186401,pl29_day21.mov,7.987,992,576,29,No,784
374,21,489,0.652827325,pl30_day21.mov,7.987,987,576,30,No,784
375,21,490,0.590269544,pl31_day21.mov,7.987,992,576,31,No,784
376,21,496,0.518784575,pl32_day21.mov,7.987,995,576,32,No,784
377,21,492,0.576242432,pl33_day21.mov,7.987,986,576,33,No,784
378,21,490,0.684542822,pl34_day21.mov,7.987,991,576,34,No,784
379,21,492,0.646051585,pl35_day21.mov,7.987,992,576,35,No,784
380,21,489,0.638580573,pl36_day21.mov,7.987,993,576,36,No,784
